Student_ID,Question_1,Question_2,Question_3,Question_4,Question_5,Question_6,Question_7,Question_8,Question_9,Question_10,Question_11,Question_12,Question_13,Question_14,Question_15,Question_16
1,V,A,V,R,K,A,A,V,K,R,K,V,V,R,K,R
2,R,K,R,R,K,A,V,K,V,A,K,A,R,R,V,R
3,K,R,A,K,A,V,K,A,R,V,K,A,A,A,V,K
4,V,R,V,K,K,K,V,R,V,K,K,V,K,R,A,A
5,R,A,A,V,R,V,V,A,V,V,K,K,V,A,K,A
6,V,V,A,K,R,A,V,K,V,V,A,R,R,R,V,A
7,A,K,A,R,A,R,V,K,R,V,K,K,R,A,R,V
8,A,R,K,K,K,A,K,R,A,R,R,V,R,A,K,R
9,R,R,V,V,A,R,A,K,A,V,A,V,K,V,R,K
10,V,V,R,K,A,K,R,V,A,R,K,A,R,R,R,V
11,K,A,R,K,R,R,R,K,R,K,K,V,K,R,A,A
12,V,A,K,R,R,V,K,A,A,K,A,R,V,K,A,A
13,R,R,V,R,K,A,A,A,R,K,K,K,K,K,A,R
14,V,R,R,A,V,R,V,K,V,K,V,A,R,A,R,K
15,V,K,K,R,V,K,A,A,R,K,V,R,K,K,R,V
16,A,R,K,A,V,A,V,K,A,V,R,R,K,V,K,V
17,V,V,K,R,V,V,A,R,K,R,V,A,R,V,K,A
18,A,A,R,V,R,R,V,V,A,K,A,A,R,R,R,A
19,K,R,R,R,R,R,K,V,V,A,K,V,V,V,R,V
20,A,A,V,A,V,K,V,R,K,K,A,A,V,R,R,R
21,V,A,R,K,V,R,R,A,K,V,A,K,V,V,A,A
22,A,A,A,K,A,K,K,K,R,V,K,V,R,A,K,V
23,A,V,V,V,K,K,V,V,A,V,K,A,K,R,A,A
24,K,V,V,A,R,V,K,V,A,V,K,K,K,A,K,A
25,V,V,V,K,K,R,A,V,A,K,V,A,V,R,K,K
26,V,A,K,R,A,V,R,K,A,R,V,K,R,K,A,A
27,K,K,K,A,V,R,V,V,A,K,V,V,K,V,K,R
28,V,K,K,R,V,K,V,K,R,A,V,K,R,V,A,V
29,K,R,A,V,K,V,K,V,R,K,R,R,V,A,V,A
