Student_ID,Question_1,Question_2,Question_3,Question_4,Question_5,Question_6,Question_7,Question_8,Question_9,Question_10,Question_11,Question_12,Question_13,Question_14,Question_15,Question_16
1,A,K,A,K,A,K,K,A,V,R,K,K,R,K,V,K
2,V,V,K,K,A,K,V,A,V,V,R,A,A,R,V,R
3,K,A,K,V,A,R,A,R,K,K,R,R,R,V,A,A
4,K,V,A,V,K,A,V,V,V,R,R,A,K,K,K,K
5,A,R,R,V,R,R,A,R,A,V,K,A,A,V,V,R
6,V,K,V,R,K,K,A,V,K,K,R,A,K,A,K,K
7,V,K,V,K,V,K,K,A,V,R,V,V,R,R,K,A
8,A,V,A,V,V,A,V,A,K,A,K,A,A,V,K,R
9,A,V,A,V,R,A,K,A,V,K,V,K,R,A,K,V
10,R,R,V,R,R,K,V,R,A,V,V,R,V,V,A,V
11,K,A,K,K,R,V,K,A,K,A,K,V,K,R,R,V
12,A,V,A,R,K,R,K,A,V,A,R,A,R,V,A,R
13,K,K,A,R,V,K,A,R,V,R,K,K,K,K,A,V
14,A,R,K,K,K,R,A,K,V,K,V,V,V,K,R,R
15,R,A,V,K,R,V,A,R,R,V,R,A,R,K,A,K
16,V,A,R,V,A,V,R,A,V,V,R,K,A,A,V,K
17,V,R,A,R,A,V,R,R,A,K,V,K,R,R,R,V
18,K,A,R,V,R,V,K,K,R,A,R,K,A,R,V,K
19,R,R,A,K,V,A,A,V,R,R,R,A,K,R,K,A
20,V,K,A,K,A,K,V,A,V,R,K,A,R,A,V,A
21,A,R,V,R,R,K,K,R,A,K,K,V,R,K,A,V
22,K,K,A,V,K,K,K,R,V,A,R,A,A,V,K,K
23,K,K,R,A,R,A,R,R,K,A,V,V,V,A,K,K
24,R,A,V,R,V,K,V,K,K,R,K,R,K,V,A,A
25,A,K,R,A,K,K,A,K,A,K,A,K,A,K,K,R
26,K,V,R,V,A,K,R,V,K,A,R,A,V,R,R,K
27,A,K,A,R,K,A,R,A,V,A,K,A,A,A,R,R
28,V,K,V,K,K,K,R,K,A,V,A,V,A,K,K,R
29,K,R,A,V,V,V,V,R,R,V,K,V,K,A,R,K
30,V,A,R,V,A,K,V,V,R,A,A,K,A,A,A,R
31,R,R,A,A,A,A,R,R,K,A,R,V,K,V,V,V
32,A,R,R,K,A,K,A,A,R,V,K,A,R,V,V,R
33,K,V,A,R,V,A,K,R,K,K,K,V,R,K,V,A
34,A,K,A,V,V,V,A,K,R,V,V,V,A,K,R,R
35,R,A,V,K,V,R,K,A,R,R,K,A,K,A,V,A
36,K,A,A,K,A,R,R,V,A,V,V,A,R,V,A,A
37,K,V,R,R,K,K,V,R,A,R,R,R,K,K,K,K
38,K,V,R,V,R,R,V,K,K,A,A,R,R,R,V,R
39,R,A,R,A,K,A,R,A,V,K,R,V,V,V,K,K
40,K,A,V,R,V,K,R,K,K,K,R,V,A,K,K,K
41,R,K,R,A,K,K,A,A,K,K,K,A,K,K,V,A
42,V,K,A,R,A,A,K,A,K,A,A,K,V,R,A,V
43,K,V,V,A,R,K,K,V,V,V,A,K,A,V,A,V
44,A,K,K,R,V,V,V,V,A,A,R,K,V,R,R,A
45,V,V,K,V,K,V,R,A,K,R,R,K,V,R,A,A
46,A,R,V,K,V,K,A,A,R,A,A,K,K,R,R,R
47,K,R,R,R,R,V,K,R,V,K,A,V,R,R,A,A
48,R,K,V,A,V,V,A,A,A,R,K,V,R,A,A,K
49,K,K,R,V,R,K,A,R,A,R,K,K,V,V,A,K
